player_link,player_id,player_name,nationality,position,team_id,team_name,team_link,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,matches_link,competition_id,season_id,id
/en/players/7a2e46a8/Alisson,7a2e46a8,Alisson,brBRA,GK,2024-2025,Liverpool,/en/squads/822bd0ba/2024-2025/Liverpool-Stats,31,1992,28,28,"2,508",27.9,29,1.04,100,73,72.0,18,7,3,9,32.1,1,1,0,0,0.0,/en/players/7a2e46a8/matchlogs/2024-2025/keeper/Alisson-Match-Logs,9,2024-2025,fd59f346-3bf8-414a-942d-247dca89c0ca
/en/players/2f965a72/Alphonse-Areola,2f965a72,Alphonse Areola,frFRA,GK,7c21e445,West Ham,/en/squads/7c21e445/West-Ham-United-Stats,31,1993,26,25,"2,260",25.1,41,1.63,115,77,64.3,5,7,13,5,20.0,0,0,0,0,,/en/players/2f965a72/matchlogs/2024-2025/keeper/Alphonse-Areola-Match-Logs,9,2024-2025,c85afe01-0227-469c-87da-69f5313babde
/en/players/28d596a0/Kepa-Arrizabalaga,28d596a0,Kepa Arrizabalaga,esESP,GK,4ba7cbea,Bournemouth,/en/squads/4ba7cbea/Bournemouth-Stats,29,1994,31,31,"2,790",31.0,39,1.26,134,95,73.9,13,7,11,8,25.8,4,4,0,0,0.0,/en/players/28d596a0/matchlogs/2024-2025/keeper/Kepa-Arrizabalaga-Match-Logs,9,2024-2025,a9bc12ff-38e7-4fce-a53d-e46fed6c56cd
/en/players/5e253986/Brandon-Austin,5e253986,Brandon Austin,engENG,GK,2024-2025,Tottenham,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats,25,1999,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,/en/players/5e253986/matchlogs/2024-2025/keeper/Brandon-Austin-Match-Logs,9,2024-2025,7b117896-c63b-4daa-9b77-cd1b271b8d47
/en/players/072e68ed/Altay-Bayindir,072e68ed,Altay Bayındır,trTUR,GK,19538871,Manchester Utd,/en/squads/19538871/Manchester-United-Stats,26,1998,4,4,360,4.0,10,2.50,17,8,41.2,1,0,3,1,25.0,0,0,0,0,,/en/players/072e68ed/matchlogs/2024-2025/keeper/Altay-Bayindir-Match-Logs,9,2024-2025,da28f8ea-945e-488b-9c91-d1596a12f80d
/en/players/68db6358/Daniel-Bentley,68db6358,Daniel Bentley,engENG,GK,8cec06e1,Wolves,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats,31,1993,2,2,180,2.0,4,2.00,12,8,66.7,1,0,1,1,50.0,0,0,0,0,,/en/players/68db6358/matchlogs/2024-2025/keeper/Daniel-Bentley-Match-Logs,9,2024-2025,71a0adeb-73cb-41ad-9e43-c29cb8e6e651
/en/players/3a949a25/Martin-Dubravka,3a949a25,Martin Dúbravka,skSVK,GK,2024-2025,Newcastle Utd,/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats,35,1989,10,10,900,10.0,12,1.20,41,29,70.7,7,0,3,5,50.0,0,0,0,0,,/en/players/3a949a25/matchlogs/2024-2025/keeper/Martin-Dubravka-Match-Logs,9,2024-2025,372ca6a7-070a-43ed-932c-37fb85ecca5a
/en/players/3bb7b8b4/Ederson,3bb7b8b4,Ederson,brBRA,GK,2024-2025,Manchester City,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats,30,1993,26,26,"2,320",25.8,26,1.01,78,53,69.2,16,4,6,10,38.5,2,2,0,0,0.0,/en/players/3bb7b8b4/matchlogs/2024-2025/keeper/Ederson-Match-Logs,9,2024-2025,2df24951-9a64-4929-8714-9cf3d0375462
/en/players/9328b835/Lukasz-Fabianski,9328b835,Łukasz Fabiański,plPOL,GK,7c21e445,West Ham,/en/squads/7c21e445/West-Ham-United-Stats,39,1985,14,13,"1,160",12.9,21,1.63,71,50,74.6,6,3,4,2,15.4,3,3,0,0,0.0,/en/players/9328b835/matchlogs/2024-2025/keeper/Lukasz-Fabianski-Match-Logs,9,2024-2025,b64a322b-08c7-48cc-a560-079793c4ba9b
/en/players/a92ab7be/Mark-Flekken,a92ab7be,Mark Flekken,nlNED,GK,cd051869,Brentford,/en/squads/cd051869/Brentford-Stats,31,1993,37,37,"3,275",36.4,55,1.51,203,150,73.4,16,8,13,7,18.9,1,1,0,0,0.0,/en/players/a92ab7be/matchlogs/2024-2025/keeper/Mark-Flekken-Match-Logs,9,2024-2025,fbacae1c-409e-43b6-88e0-f4b76fa66412
